UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação,Tipo
29,15344447,15,0.04122482427606254,0.05615797635137231,0.07650046697015318,Bahia,Estado
29,15344447,16,0.010446315201103461,0.023184956913754575,0.0514575921503761,Bahia,Estado
29,15344447,17,0.014765964821081085,0.028131330887537453,0.05359431551498026,Bahia,Estado
29,15344447,18,0.01607650543636958,0.03702291353085581,0.0852608256028282,Bahia,Estado
29,15344447,19,0.005695480034393764,0.020486294509613263,0.07368795258699963,Bahia,Estado
29,15344447,20,0.01225640623040143,0.02492354239026695,0.050682308794450584,Bahia,Estado
29,15344447,21,0.006745477950010441,0.020135972340136244,0.06010802868047391,Bahia,Estado
29,15344447,22,0.01829572667458455,0.03188315313489561,0.055561359868548994,Bahia,Estado
29,15344447,23,0.02757321969899559,0.04288335141939362,0.06669449012609134,Bahia,Estado
29,15344447,24,0.008011933804296534,0.024509905689012408,0.07498008490311393,Bahia,Estado
29,15344447,25,0.008677934821122774,0.022573967931761293,0.05872180866625318,Bahia,Estado
29,15344447,26,0.0393998668593112,0.04998141892250399,0.0634048395754024,Bahia,Estado
29,15344447,27,0.0318622322125288,0.05529670933928669,0.09596710121744713,Bahia,Estado
29,15344447,28,0.009611800382034163,0.016983885451635292,0.03001023258591885,Bahia,Estado
29,15344447,29,0.00907277423974719,0.018553000543647908,0.037939203608155815,Bahia,Estado
29,15344447,30,0.015559213762724662,0.025649865697145897,0.0422846308505508,Bahia,Estado
29,15344447,31,0.021224823920260344,0.0391399010503911,0.07217642228692824,Bahia,Estado
29,15344447,32,0.008788833451994958,0.022410371209093446,0.05714350379632755,Bahia,Estado
29,15344447,33,0.031426693666166634,0.04697569629150747,0.07021788755486093,Bahia,Estado
29,15344447,34,0.017824843408921483,0.033072624371751354,0.06136370781734365,Bahia,Estado
29,15344447,35,0.010986829202761682,0.03281413069422008,0.09800527097906442,Bahia,Estado
29,15344447,36,0.025871671696484758,0.0459349988236556,0.0815573164998045,Bahia,Estado
29,15344447,37,0.011333534499620978,0.030014797212625895,0.07948871128818492,Bahia,Estado
