Código,Sigla,UF,Região,Região oficial,Ano,Sexo,Total,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos
13,AM,Amazonas,RegN,N,2016,M,2020370,203819,211661,421910,375883,316237,221747,148176,120937
13,AM,Amazonas,RegN,N,2016,Total,4001667,398509,413511,829790,744594,632023,439578,291173,252489
13,AM,Amazonas,RegN,N,2017,F,2012579,192527,200574,408398,375783,321358,227116,148334,138489
13,AM,Amazonas,RegN,N,2017,M,2051035,201562,210371,423451,382964,321919,229837,153673,127258
13,AM,Amazonas,RegN,N,2017,Total,4063614,394089,410945,831849,758747,643277,456953,302007,265747
13,AM,Amazonas,RegN,N,2018,F,2043145,190171,199162,408489,382986,326060,236795,153679,145803
13,AM,Amazonas,RegN,N,2018,M,2080888,199101,208914,424643,390039,326855,238315,159114,133907
13,AM,Amazonas,RegN,N,2018,Total,4124033,389272,408076,833132,773025,652915,475110,312793,279710
13,AM,Amazonas,RegN,N,2019,F,2072980,187656,197615,408353,389474,330428,246669,159246,153539
13,AM,Amazonas,RegN,N,2019,M,2109919,196476,207301,425712,396259,331547,247065,164609,140950
13,AM,Amazonas,RegN,N,2019,Total,4182899,384132,404916,834065,785733,661975,493734,323855,294489
13,AM,Amazonas,RegN,N,2020,F,2102089,185025,195919,408362,394467,334843,256563,165184,161726
13,AM,Amazonas,RegN,N,2020,M,2138121,193724,205526,427059,400852,336341,255966,170236,148417
13,AM,Amazonas,RegN,N,2020,Total,4240210,378749,401445,835421,795319,671184,512529,335420,310143
13,AM,Amazonas,RegN,N,2021,F,2130425,182364,194011,407754,398845,339142,266488,171452,170369
13,AM,Amazonas,RegN,N,2021,M,2165421,190941,203523,426709,405881,341069,265017,175970,156311
13,AM,Amazonas,RegN,N,2021,Total,4295846,373305,397534,834463,804726,680211,531505,347422,326680
13,AM,Amazonas,RegN,N,2022,F,2157990,179741,191865,406538,402664,343161,276500,178011,179510
13,AM,Amazonas,RegN,N,2022,M,2191821,188197,201270,425669,410410,345561,274269,181793,164652
13,AM,Amazonas,RegN,N,2022,Total,4349811,367938,393135,832207,813074,688722,550769,359804,344162
13,AM,Amazonas,RegN,N,2023,F,2184844,177173,189526,404806,405824,347283,286236,184955,189041
13,AM,Amazonas,RegN,N,2023,M,2217423,185510,198815,424033,414359,350155,283385,187836,173330
13,AM,Amazonas,RegN,N,2023,Total,4402267,362683,388341,828839,820183,697438,569621,372791,362371
13,AM,Amazonas,RegN,N,2024,F,2211001,174680,187029,402622,408277,352036,295171,192403,198783
13,AM,Amazonas,RegN,N,2024,M,2242232,182903,196195,421874,417678,355299,291867,194241,182175
13,AM,Amazonas,RegN,N,2024,Total,4453233,357583,383224,824496,825955,707335,587038,386644,380958
13,AM,Amazonas,RegN,N,2025,F,2236452,172280,184414,400019,410032,357680,302990,200407,208630
13,AM,Amazonas,RegN,N,2025,M,2266261,180394,193450,419244,420361,361204,299418,201110,191080
13,AM,Amazonas,RegN,N,2025,Total,4502713,352674,377864,819263,830393,718884,602408,401517,399710
13,AM,Amazonas,RegN,N,2026,F,2261184,169989,181765,396984,411128,364060,309704,208932,218622
